barren,1,0,0
barrer,0,1,0
barrio,4,3,1
barrió,0,1,0
barría,1,0,0
basada,0,0,1
basrah,0,0,8
bastar,0,0,1
basura,0,0,2
batido,0,3,0
batirá,0,1,0
batían,0,2,0
bayeta,1,0,0
bañaba,0,1,0
bañada,1,1,0
bañado,0,1,0
bebida,1,0,4
bebido,0,0,3
beirut,0,0,3
beldad,0,6,0
beleño,0,0,1
bellas,0,0,1
bellos,1,0,1
benito,0,1,0
besaba,2,1,3
besara,0,1,0
bestia,6,3,0
biblia,0,0,1
bichos,1,0,0
bienes,0,10,3
bigote,1,1,0
bisbal,0,2,0
bizcos,1,0,0
blanca,11,3,8
blanco,10,5,3
blanda,0,1,0
blando,0,1,0
blasco,0,3,15
blasón,0,1,0
blusas,1,0,0
bocado,1,1,0
bocaza,1,1,0
bodega,0,0,2
bollos,0,1,0
bolsón,11,0,0
bombas,1,0,0
bombay,0,0,1
bondad,4,6,4
bonita,3,2,0
bonito,2,0,0
bordas,2,0,0
borrad,1,0,0
borrar,0,3,0
borrón,0,1,0
bosque,0,3,3
boulak,0,0,1
brasas,0,1,0
bravos,1,3,0
brazos,23,20,21
brecha,1,0,0
breves,0,4,1
brillo,0,2,0
brilló,0,0,1
brinca,0,0,1
brincó,0,0,1
brocha,1,0,0
bromas,3,1,1
bronca,1,0,0
bronce,0,3,10
brotar,0,0,1
brozas,1,0,0
bruces,1,0,0
bruixa,3,0,0
brujas,1,0,1
brusco,1,0,0
brutal,6,7,0
brutos,1,0,0
bruñía,1,0,0
buenas,6,8,4
buenos,9,20,6
bueyes,0,0,1
buitre,0,0,4
bujías,0,0,3
bullía,2,0,0
bultos,3,1,0
burdel,0,1,0
burgos,0,1,1
burlan,0,1,0
burlar,0,1,0
burlas,0,2,2
burlón,0,1,0
burton,0,0,2
buscan,0,3,0
buscar,2,4,10
buscas,1,1,0
busque,0,1,0
busqué,0,0,1
butaca,0,1,0
bíceps,1,0,0
bóveda,1,0,4
búfalo,0,0,1
cabeza,39,42,60
cabras,1,0,0
cabían,0,1,0
cadena,3,1,3
cadera,1,0,0
cadete,0,1,0
caerse,1,0,0
caería,2,1,0
caigan,0,0,1
cajita,0,0,1
calada,1,1,0
califa,0,0,69
callar,4,1,3
calles,15,13,7
calmar,0,1,0
calzón,0,0,1
cambia,1,1,0
cambio,2,7,12
cambió,2,2,5
camila,1,0,0
camilo,0,0,1
camina,0,1,0
camino,27,5,24
camisa,0,1,1
campos,12,0,1
candil,2,0,0
canela,0,0,1
cantan,0,0,2
cantar,0,0,8
cantes,0,0,1
cantos,0,0,1
capazo,5,0,0
capitá,1,0,0
capota,2,0,0
carbón,0,1,9
cargar,3,1,2
cargos,0,1,0
cargué,0,0,2
cariño,8,14,3
carlos,0,15,0
carnal,0,4,0
carnes,0,4,5
carros,1,0,0
cartas,1,12,0
cartel,1,1,0
casaba,1,2,0
casaca,0,5,0
casada,0,0,1
casado,4,0,3
casaré,0,0,1
cascos,0,0,2
casino,4,0,0
casita,2,0,0
castas,0,1,0
castro,0,0,1
causan,0,1,0
causar,0,4,1
causas,0,1,0
cayera,1,3,0
caídos,2,0,0
caímos,1,0,0
cebada,0,2,3
cegaba,0,0,1
cegado,0,2,0
celosa,2,1,0
celoso,0,0,1
ceniza,0,0,5
centro,4,11,12
cerdas,1,0,0
cernió,0,0,1
cerrad,0,0,1
cerrar,2,2,2
cesaba,2,0,0
cesado,0,1,0
cesase,1,0,0
cestas,4,0,0
cestos,2,0,0
ceylán,0,0,1
ceñido,1,0,0
ceñuda,0,1,0
chacós,0,1,0
chalán,0,1,0
chapas,0,0,3
chaqué,1,0,0
charca,1,0,0
charco,0,1,0
charla,2,1,1
chasco,4,1,0
cherif,0,0,1
chicos,6,0,0
chispa,0,1,2
chocan,0,0,1
chocar,1,1,1
choque,1,1,0
chorro,0,0,1
chufas,2,0,0
chusca,0,2,0
chusma,1,0,0
cidras,0,0,1
ciegas,0,1,1
ciegos,1,0,0
cielos,1,1,1
ciento,1,1,2
cierra,1,0,0
cierre,0,1,0
cierta,12,36,1
cierto,9,30,11
cifras,1,0,0
cincel,0,1,0
cirilo,0,1,0
citada,0,1,0
citado,1,1,0
ciudad,10,9,72
claras,0,1,0
claros,1,2,0
clarín,1,0,0
clases,1,4,2
clavos,1,0,2
cobrar,0,0,2
cocear,0,0,1
coches,2,1,0
cocina,1,0,5
cogida,0,0,2
cogido,2,0,3
cojera,0,4,0
colaba,0,1,0
colcha,0,0,2
coleta,0,1,0
colina,0,0,1
collar,0,0,2
colmar,0,0,1
colocó,0,1,8
cometa,0,1,1
comida,2,1,2
comido,0,1,2
comino,1,0,0
compra,0,0,1
compré,0,0,2
compró,0,0,5
compás,1,1,0
comían,2,0,0
conato,1,0,0
concha,1,0,0
condes,0,2,0
conejo,0,0,1
confié,0,0,2
confió,0,0,1
confía,0,0,1
confíe,0,2,0
confío,0,3,1
conoce,1,13,5
conocí,1,0,0
conque,0,2,0
consta,0,1,1
contar,0,1,9
contra,9,40,37
copias,0,1,0
copita,1,0,0
copudo,0,0,1
coraza,0,0,1
corcel,0,1,2
cordel,0,0,1
cordón,0,1,0
corola,0,1,0
corona,0,2,4
corral,6,0,0
correa,0,0,1
corren,1,0,1
correo,1,3,0
correr,7,3,1
corrió,3,2,2
corros,1,0,0
corría,8,3,3
cortar,1,1,2
corten,0,0,1
cortes,0,10,1
cortos,1,0,0
cortés,0,1,1
cosaco,0,1,0
cosido,0,0,1
costas,1,2,1
cotejo,0,1,0
creada,0,1,0
creado,1,3,0
crecer,0,2,0
creció,0,1,1
creerá,0,1,0
creeré,0,0,1
crespa,0,1,0
cresta,2,0,0
crezco,0,1,0
creáis,0,0,2
creían,1,0,0
criado,0,3,2
crimen,4,2,7
crisis,1,0,0
cristo,5,5,0
cromos,0,1,0
cruces,0,5,0
crujía,1,0,0
cruzar,0,1,0
cráneo,2,3,0
créame,1,2,0
cuadro,0,4,1
cuales,4,11,13
cuando,73,133,196
cuanto,10,59,61
cuarta,0,1,8
cuarto,2,7,6
cuatro,12,16,32
cubras,0,0,1
cubren,0,0,3
cubrir,0,2,0
cubrió,0,0,3
cubría,1,0,3
cuelga,0,1,0
cuello,10,4,7
cuenta,9,5,24
cuente,0,1,1
cuento,2,0,11
cuerda,1,1,4
cuerpo,14,33,26
cuervo,0,0,1
cuesta,6,2,0
cueste,0,0,2
cuiden,0,0,1
culata,2,0,0
culpas,0,5,1
cumbre,0,1,5
cumple,0,1,0
curado,0,2,6
curará,0,0,1
curaré,0,0,1
curvas,1,0,0
curvos,1,0,0
cuáles,0,5,0
cuándo,2,7,2
cuánta,1,0,3
cuánto,5,6,0
cuñada,3,0,1
cuñado,6,0,0
cálamo,0,0,2
cámara,0,1,1
cáncer,2,0,0
cárcel,16,3,0
cásame,0,0,1
cásate,0,0,1
cédula,1,0,0
célibe,0,1,0
cínica,0,1,0
cítara,0,0,1
código,0,0,1
cólera,5,5,1
cómica,0,1,0
cómodo,0,0,1
cúmulo,0,2,0
cúpula,0,0,17
dalila,0,0,1
danzar,1,0,1
danzas,0,1,0
darlas,1,0,0
darles,0,1,0
darnos,0,1,2
darwin,0,0,1
daudet,0,0,1
dañara,0,0,1
debajo,2,1,15
deberá,0,1,0
debido,0,0,2
debían,4,0,0
decano,1,0,0
decaía,0,1,0
decidí,0,0,2
decían,8,3,6
dedica,0,1,1
dedico,0,0,1
dedicó,0,0,1
dejaba,9,5,3
dejado,0,6,7
dejara,2,2,0
dejaré,0,0,3
dejéis,0,1,0
delata,1,1,0
delfín,1,0,0
delito,0,1,1
densas,1,1,0
dentro,21,18,6
depare,0,0,1
desata,0,0,1
desató,0,0,2
desdén,0,2,0
desean,0,1,0
desear,0,3,3
deseas,0,0,2
deseos,2,7,7
desvio,0,2,0
desván,3,0,0
desvío,0,5,0
detrás,7,3,14
detuve,0,0,3
detuvo,3,6,8
deudas,0,0,1
devora,0,2,0
devoró,0,1,0
devota,0,2,0
devoto,0,1,0
diablo,3,8,0
diaria,2,2,0
diario,0,4,0
dichas,0,5,0
dichos,0,1,0
dieran,0,0,1
dieron,3,1,1
dieses,0,0,1
dignes,0,0,1
dignos,0,1,1
digáis,0,0,1
dijera,1,0,0
dilató,0,0,1
dinero,18,10,16
dioses,0,1,0
dirige,0,2,0
dirigí,0,1,8
dirían,0,1,0
disipó,0,0,2
dispón,0,1,0
dividí,0,0,2
divino,1,0,2
divisé,0,0,1
divisó,0,0,1
doblar,1,0,0
dobles,1,0,0
docena,1,1,0
doctor,0,0,15
dolían,1,0,0
domina,0,1,2
dominó,0,1,0
dorada,0,2,0
dorado,0,0,1
dormir,3,1,11
dormía,1,0,0
dotado,0,0,5
dragón,0,1,0
drogas,0,0,1
duchos,0,1,0
dudaba,0,1,0
dudado,0,0,1
dudara,0,1,0
dudase,0,1,0
dudosa,0,1,0
dudoso,0,1,0
duelos,1,0,1
duerme,2,0,0
duermo,1,0,0
dueños,0,4,1
dulces,0,4,11
duques,0,2,0
durado,0,0,1
dureza,1,0,2
durmió,0,0,3
dédalo,0,1,0
déjame,0,0,2
déjate,0,0,1
déjeme,1,2,0
dígale,0,1,0
dígalo,0,1,0
ebrios,3,1,0
echada,0,0,1
echado,1,0,4
echara,0,1,1
echará,1,0,1
echaré,0,0,1
echase,1,0,0
echéis,0,0,1
edades,0,2,1
educar,0,1,0
efecto,1,11,7
eficaz,0,0,1
efrita,0,0,10
efrits,0,0,13
egipto,0,0,3
ejerce,0,6,0
elegir,0,0,5
elevan,0,1,0
eligió,0,0,1
elijas,0,0,1
elogio,0,1,0
eludir,0,1,0
elíseo,0,0,2
embozo,1,3,0
embudo,0,1,0
emires,0,0,9
empecé,0,0,9
empezó,0,0,26
empeño,1,8,0
emplea,0,0,1
empleo,2,2,0
empleé,0,0,1
empuja,0,1,0
empuje,0,5,1
empuñó,0,0,1
encaje,0,0,1
encima,4,5,19
encono,0,1,0
encías,0,1,0
enfada,0,1,0
enfado,0,3,0
enfrió,0,0,1
engaña,0,2,0
engaño,1,3,0
engañó,0,0,1
enigma,0,0,1
enjuto,2,0,0
enorme,9,4,20
enseña,0,1,0
enseñó,1,0,3
enteco,1,0,0
entera,1,7,3
entero,1,1,11
